time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446750000	18.1552	6.32372	4.8458	0.920607	0.393263	radar	0.866231	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2743	6.57199	4.90417	0.968032	0.428443	lidar	0.783795	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4078	6.78275	4.90038	0.994552	0.436822	radar	0.247322	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5557	6.91232	4.79238	0.983739	0.395665	lidar	1.54884	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7076	7.11863	4.87942	0.99207	0.373139	radar	0.800869	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9066	7.2543	4.82323	0.964143	0.314996	lidar	3.66837	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9973	7.44478	4.67542	1.00147	0.354042	radar	3.68769	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0835	7.72586	4.78107	1.05998	0.405396	lidar	1.76936	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2071	7.92881	4.79846	1.07228	0.391981	radar	0.276528	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2842	8.15107	4.79011	1.10771	0.411331	lidar	1.27798	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.385	8.3597	4.81747	1.12225	0.396485	radar	2.16373	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4811	8.50068	4.67894	1.12099	0.369891	lidar	3.15385	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5753	8.70203	4.6321	1.14154	0.376575	radar	0.448372	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7368	8.87895	4.61349	1.12521	0.333795	lidar	3.96142	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8135	9.09299	4.55641	1.15755	0.361713	radar	0.977284	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9402	9.33169	4.63125	1.16957	0.355091	lidar	3.35237	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9891	9.54371	4.52004	1.21328	0.402037	radar	2.37494	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0712	9.79671	4.59692	1.24217	0.413372	lidar	1.11207	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
